"Arrondissement","Candidat","Nombre de votes"
"Ahuntsic-Cartierville","Denis CODERRE  ","13191"
"Ahuntsic-Cartierville","Mélanie JOLY","10029"
"Ahuntsic-Cartierville","Richard BERGERON ","10275"
"Ahuntsic-Cartierville","Marcel CÔTÉ ","5352"
"Ahuntsic-Cartierville","Michel BRÛLÉ ","625"
"Ahuntsic-Cartierville","Patricia TULASNE ","184"
"Ahuntsic-Cartierville","Claude BLAIS ","142"
"Ahuntsic-Cartierville","Louai HAMIDA ","142"
"Ahuntsic-Cartierville","Joseph YOUNG ","64"
"Ahuntsic-Cartierville","Kofi SONOKPON ","52"
"Ahuntsic-Cartierville","Clément SAURIOL","50"
"Anjou","Denis CODERRE ","6299"
"Anjou","Mélanie JOLY ","3534"
"Anjou","Richard BERGERON ","2250"
"Anjou","Marcel CÔTÉ ","1359"
"Anjou","Michel BRÛLÉ ","157"
"Anjou","Louai HAMIDA ","119"
"Anjou","Patricia TULASNE ","94"
"Anjou","Claude BLAIS ","55"
"Anjou","Joseph YOUNG ","26"
"Anjou","Clément SAURIOL","12"
"Anjou","Kofi SONOKPON ","11"
"Côte-des-Neiges–Notre-Dame-de-Grâce","Mélanie JOLY ","10356"
"Côte-des-Neiges–Notre-Dame-de-Grâce","Denis CODERRE","8878"
"Côte-des-Neiges–Notre-Dame-de-Grâce","Richard BERGERON ","8725"
"Côte-des-Neiges–Notre-Dame-de-Grâce","Marcel CÔTÉ ","6940"
"Côte-des-Neiges–Notre-Dame-de-Grâce","Michel BRÛLÉ ","335"
"Côte-des-Neiges–Notre-Dame-de-Grâce","Joseph YOUNG ","181"
"Côte-des-Neiges–Notre-Dame-de-Grâce","Claude BLAIS","126"
"Côte-des-Neiges–Notre-Dame-de-Grâce","Louai HAMIDA ","118"
"Côte-des-Neiges–Notre-Dame-de-Grâce","Patricia TULASNE ","111"
"Côte-des-Neiges–Notre-Dame-de-Grâce","Kofi SONOKPON ","101"
"Côte-des-Neiges–Notre-Dame-de-Grâce","Clément SAURIOL ","35"
"Lachine","Mélanie JOLY ","4331"
"Lachine","Denis CODERRE ","3683"
"Lachine","Richard BERGERON ","2690"
"Lachine","Marcel CÔTÉ ","1808"
"Lachine","Michel BRÛLÉ","135"
"Lachine","Patricia TULASNE ","126"
"Lachine","Claude BLAIS ","67"
"Lachine","Joseph YOUNG","54"
"Lachine","Kofi SONOKPON","34"
"Lachine","Clément SAURIOL ","27"
"Lachine","Louai HAMIDA ","20"
"LaSalle","Denis CODERRE","7737"
"LaSalle","Mélanie JOLY","6660"
"LaSalle","Richard BERGERON","2972"
"LaSalle","Marcel CÔTÉ","1736"
"LaSalle","Michel BRÛLÉ","253"
"LaSalle","Patricia TULASNE ","117"
"LaSalle","Claude BLAIS ","86"
"LaSalle","Louai HAMIDA","73"
"LaSalle","Joseph YOUNG ","100"
"LaSalle","Kofi SONOKPON","45"
"LaSalle","Clément SAURIOL ","30"
"L'Île-Bizard–Sainte-Geneviève","Mélanie JOLY","3082"
"L'Île-Bizard–Sainte-Geneviève","Denis CODERRE","2076"
"L'Île-Bizard–Sainte-Geneviève","Richard BERGERON","839"
"L'Île-Bizard–Sainte-Geneviève","Marcel CÔTÉ","616"
"L'Île-Bizard–Sainte-Geneviève","Michel BRÛLÉ","57"
"L'Île-Bizard–Sainte-Geneviève","Patricia TULASNE","26"
"L'Île-Bizard–Sainte-Geneviève","Claude BLAIS","23"
"L'Île-Bizard–Sainte-Geneviève","Louai HAMIDA","18"
"L'Île-Bizard–Sainte-Geneviève","Joseph YOUNG","15"
"L'Île-Bizard–Sainte-Geneviève","Kofi SONOKPON","8"
"L'Île-Bizard–Sainte-Geneviève","Clément SAURIOL","5"
"Mercier–Hochelaga-Maisonneuve","Richard BERGERON","11696"
"Mercier–Hochelaga-Maisonneuve","Mélanie JOLY","11606"
"Mercier–Hochelaga-Maisonneuve","Denis CODERRE","11495"
"Mercier–Hochelaga-Maisonneuve","Marcel CÔTÉ","6289"
"Mercier–Hochelaga-Maisonneuve","Michel BRÛLÉ","930"
"Mercier–Hochelaga-Maisonneuve","Patricia TULASNE","305"
"Mercier–Hochelaga-Maisonneuve","Claude BLAIS","163"
"Mercier–Hochelaga-Maisonneuve","Louai HAMIDA","74"
"Mercier–Hochelaga-Maisonneuve","Joseph YOUNG","60"
"Mercier–Hochelaga-Maisonneuve","Clément SAURIOL","38"
"Mercier–Hochelaga-Maisonneuve","Kofi SONOKPON","36"
"Montréal-Nord","Denis CODERRE","12820"
"Montréal-Nord","Mélanie JOLY","2486"
"Montréal-Nord","Richard BERGERON","1865"
"Montréal-Nord","Marcel CÔTÉ","1585"
"Montréal-Nord","Michel BRÛLÉ","194"
"Montréal-Nord","Patricia TULASNE","102"
"Montréal-Nord","Claude BLAIS","58"
"Montréal-Nord","Louai HAMIDA","44"
"Montréal-Nord","Joseph YOUNG","25"
"Montréal-Nord","Clément SAURIOL","21"
"Montréal-Nord","Kofi SONOKPON","13"
"Outremont","Richard BERGERON","2639"
"Outremont","Denis CODERRE","2473"
"Outremont","Marcel CÔTÉ","1982"
"Outremont","Mélanie JOLY","1923"
"Outremont","Michel BRÛLÉ","87"
"Outremont","Patricia TULASNE","41"
"Outremont","Kofi SONOKPON","13"
"Outremont","Claude BLAIS","12"
"Outremont","Louai HAMIDA","11"
"Outremont","Joseph YOUNG","11"
"Outremont","Clément SAURIOL","4"
"Pierrefonds-Roxboro","Mélanie JOLY","5699"
"Pierrefonds-Roxboro","Denis CODERRE","5006"
"Pierrefonds-Roxboro","Richard BERGERON","2992"
"Pierrefonds-Roxboro","Marcel CÔTÉ","1740"
"Pierrefonds-Roxboro","Michel BRÛLÉ","129"
"Pierrefonds-Roxboro","Louai HAMIDA","85"
"Pierrefonds-Roxboro","Joseph YOUNG","69"
"Pierrefonds-Roxboro","Patricia TULASNE","45"
"Pierrefonds-Roxboro","Claude BLAIS","39"
"Pierrefonds-Roxboro","Kofi SONOKPON","36"
"Pierrefonds-Roxboro","Clément SAURIOL","24"
"Plateau-Mont-Royal","Richard BERGERON","14314"
"Plateau-Mont-Royal","Mélanie JOLY","7874"
"Plateau-Mont-Royal","Marcel CÔTÉ","5044"
"Plateau-Mont-Royal","Denis CODERRE","4959"
"Plateau-Mont-Royal","Michel BRÛLÉ","512"
"Plateau-Mont-Royal","Patricia TULASNE","159"
"Plateau-Mont-Royal","Louai HAMIDA","63"
"Plateau-Mont-Royal","Claude BLAIS","49"
"Plateau-Mont-Royal","Joseph YOUNG","37"
"Plateau-Mont-Royal","Kofi SONOKPON","35"
"Plateau-Mont-Royal","Clément SAURIOL","24"
"Rivière-des-Prairies–Pointe-aux-Trembles","Denis CODERRE","15927"
"Rivière-des-Prairies–Pointe-aux-Trembles","Mélanie JOLY","7838"
"Rivière-des-Prairies–Pointe-aux-Trembles","Richard BERGERON","4597"
"Rivière-des-Prairies–Pointe-aux-Trembles","Marcel CÔTÉ","3390"
"Rivière-des-Prairies–Pointe-aux-Trembles","Michel BRÛLÉ","403"
"Rivière-des-Prairies–Pointe-aux-Trembles","Patricia TULASNE","166"
"Rivière-des-Prairies–Pointe-aux-Trembles","Claude BLAIS","149"
"Rivière-des-Prairies–Pointe-aux-Trembles","Louai HAMIDA","34"
"Rivière-des-Prairies–Pointe-aux-Trembles","Clément SAURIOL","31"
"Rivière-des-Prairies–Pointe-aux-Trembles","Joseph YOUNG","30"
"Rivière-des-Prairies–Pointe-aux-Trembles","Kofi SONOKPON","18"
"Rosemont–La Petite-Patrie","Richard BERGERON","20273"
"Rosemont–La Petite-Patrie","Mélanie JOLY","11268"
"Rosemont–La Petite-Patrie","Denis CODERRE","10501"
"Rosemont–La Petite-Patrie","Marcel CÔTÉ","5633"
"Rosemont–La Petite-Patrie","Michel BRÛLÉ","822"
"Rosemont–La Petite-Patrie","Patricia TULASNE","326"
"Rosemont–La Petite-Patrie","Claude BLAIS","83"
"Rosemont–La Petite-Patrie","Joseph YOUNG","66"
"Rosemont–La Petite-Patrie","Louai HAMIDA","60"
"Rosemont–La Petite-Patrie","Kofi SONOKPON","51"
"Rosemont–La Petite-Patrie","Clément SAURIOL","50"
"Saint-Laurent","Denis CODERRE","8412"
"Saint-Laurent","Mélanie JOLY","6781"
"Saint-Laurent","Richard BERGERON","2779"
"Saint-Laurent","Marcel CÔTÉ","1830"
"Saint-Laurent","Michel BRÛLÉ","171"
"Saint-Laurent","Louai HAMIDA","141"
"Saint-Laurent","Claude BLAIS","75"
"Saint-Laurent","Joseph YOUNG","73"
"Saint-Laurent","Patricia TULASNE","60"
"Saint-Laurent","Kofi SONOKPON","40"
"Saint-Laurent","Clément SAURIOL","24"
"Saint-Léonard","Denis CODERRE","9318"
"Saint-Léonard","Mélanie JOLY","3549"
"Saint-Léonard","Richard BERGERON","2066"
"Saint-Léonard","Marcel CÔTÉ","1368"
"Saint-Léonard","Michel BRÛLÉ","224"
"Saint-Léonard","Louai HAMIDA","100"
"Saint-Léonard","Patricia TULASNE","96"
"Saint-Léonard","Claude BLAIS","69"
"Saint-Léonard","Joseph YOUNG","30"
"Saint-Léonard","Kofi SONOKPON","27"
"Saint-Léonard","Clément SAURIOL","22"
"Sud-Ouest","Mélanie JOLY","6016"
"Sud-Ouest","Richard BERGERON","5460"
"Sud-Ouest","Denis CODERRE","4998"
"Sud-Ouest","Marcel CÔTÉ","2759"
"Sud-Ouest","Michel BRÛLÉ","235"
"Sud-Ouest","Patricia TULASNE","126"
"Sud-Ouest","Claude BLAIS","75"
"Sud-Ouest","Louai HAMIDA","68"
"Sud-Ouest","Joseph YOUNG","45"
"Sud-Ouest","Kofi SONOKPON","43"
"Sud-Ouest","Clément SAURIOL","24"
"Verdun","Mélanie JOLY","6140"
"Verdun","Denis CODERRE","5823"
"Verdun","Richard BERGERON","5193"
"Verdun","Marcel CÔTÉ","3138"
"Verdun","Michel BRÛLÉ","212"
"Verdun","Patricia TULASNE","137"
"Verdun","Claude BLAIS","50"
"Verdun","Joseph YOUNG","47"
"Verdun","Louai HAMIDA","32"
"Verdun","Clément SAURIOL","24"
"Verdun","Kofi SONOKPON","15"
"Ville-Marie","Mélanie JOLY","6447"
"Ville-Marie","Richard BERGERON","5750"
"Ville-Marie","Denis CODERRE","4704"
"Ville-Marie","Marcel CÔTÉ","3067"
"Ville-Marie","Michel BRÛLÉ","295"
"Ville-Marie","Patricia TULASNE","130"
"Ville-Marie","Louai HAMIDA","106"
"Ville-Marie","Claude BLAIS","39"
"Ville-Marie","Joseph YOUNG","31"
"Ville-Marie","Clément SAURIOL","26"
"Ville-Marie","Kofi SONOKPON","23"
"Villeray–Saint-Michel–Parc-Extension","Richard BERGERON","11262"
"Villeray–Saint-Michel–Parc-Extension","Denis CODERRE","11167"
"Villeray–Saint-Michel–Parc-Extension","Mélanie JOLY","7443"
"Villeray–Saint-Michel–Parc-Extension","Marcel CÔTÉ","3854"
"Villeray–Saint-Michel–Parc-Extension","Michel BRÛLÉ","532"
"Villeray–Saint-Michel–Parc-Extension","Patricia TULASNE","217"
"Villeray–Saint-Michel–Parc-Extension","Louai HAMIDA","213"
"Villeray–Saint-Michel–Parc-Extension","Claude BLAIS","193"
"Villeray–Saint-Michel–Parc-Extension","Joseph YOUNG","148"
"Villeray–Saint-Michel–Parc-Extension","Kofi SONOKPON","90"
"Villeray–Saint-Michel–Parc-Extension","Clément SAURIOL","86"
